currdate,vol.pct.all,vol.pct.ma.all,TOP.vol.pct,TOP.vol.pct.ma,OUT.vol.pct,OUT.vol.pct.ma
7/7/2009,0.512659369,0.498457726,0.816577856,0.772423422,0.471644105,0.465519639
7/8/2009,0.524539928,0.498799974,0.841397646,0.773774986,0.480141031,0.465326975
7/9/2009,0.522029478,0.49827578,0.849086173,0.77881712,0.482622689,0.464700044
7/10/2009,0.461331971,0.493871184,0.891423116,0.783144013,0.434936637,0.461009662
7/13/2009,0.481285425,0.493383197,0.770301167,0.781663448,0.44515654,0.460423411
7/14/2009,0.520918961,0.495321381,0.819804265,0.78751604,0.479425058,0.461534648
7/15/2009,0.527169367,0.493618799,0.781891932,0.787328843,0.464060795,0.458719352
7/16/2009,0.528330759,0.494537009,0.824118123,0.79074967,0.473922132,0.458113674
7/17/2009,0.472722121,0.492134894,0.712729628,0.787808079,0.443291178,0.456265216
7/20/2009,0.439052875,0.491634883,0.616991626,0.778515225,0.419320451,0.456356485
7/21/2009,0.525829723,0.493700818,0.760811677,0.776880345,0.459802646,0.456006428
7/22/2009,0.468852826,0.492705125,0.683281013,0.777148524,0.447802287,0.455048874
7/23/2009,0.471431046,0.491085472,0.651545014,0.770898127,0.439946359,0.4534317
7/24/2009,0.535671278,0.49112483,0.785943353,0.768710902,0.477808785,0.452274303
7/27/2009,0.477068393,0.489451333,0.756951373,0.765618063,0.42312217,0.449392001
7/28/2009,0.491032026,0.489972105,0.784462924,0.764714166,0.457188894,0.44969012
7/29/2009,0.524629216,0.491205972,0.760606529,0.766175219,0.471389936,0.450380066
7/30/2009,0.509541072,0.491482949,0.692559999,0.76481666,0.46494369,0.450332565
8/3/2009,0.507379796,0.498687873,0.790391811,0.767000849,0.450820874,0.45626458
8/4/2009,0.512779303,0.500712747,0.727846972,0.76593611,0.46534901,0.457634763
8/5/2009,0.50242091,0.500200824,0.71990439,0.761102437,0.452424254,0.456673771
8/6/2009,0.492213734,0.498584514,0.624528251,0.750258967,0.466079964,0.455970717
8/7/2009,0.451057229,0.495035901,0.73333525,0.744471421,0.407942726,0.452236719
8/10/2009,0.464441396,0.495191373,0.752176404,0.737509085,0.425248657,0.45175232
8/11/2009,0.512729003,0.496763552,0.766204067,0.73730423,0.469539845,0.452971485
8/12/2009,0.556138195,0.498524513,0.753876206,0.734007827,0.510636818,0.454532073
8/13/2009,0.517487002,0.498040395,0.816672139,0.735746837,0.489491917,0.45580363
8/14/2009,0.472802582,0.495263986,0.861332335,0.737607548,0.43732811,0.453973928
8/17/2009,0.498668965,0.496561328,0.848363401,0.744389237,0.445311497,0.454074944
8/18/2009,0.492091917,0.499213281,0.754900718,0.751284691,0.453343947,0.455776119
8/19/2009,0.495534222,0.497698506,0.827775997,0.754632907,0.442410486,0.454906511
8/20/2009,0.502547462,0.499383237,0.742606425,0.757599178,0.472717097,0.456152252
8/21/2009,0.416895766,0.496656473,0.761736573,0.763108756,0.364484764,0.452379172
