currdate,cusip.pct.all,cusip.pct.ma.all,Short.cusip.pct,Short.cusip.pct.ma,YR5.cusip.pct,YR5.cusip.pct.ma,YR10.cusip.pct,YR10.cusip.pct.ma,Long.cusip.pct,Long.cusip.pct.ma
3/31/2009,0.443835616,0.455254475,0.423188406,0.4161642,0.473063973,0.493672569,0.437288136,0.458416889,0.418685121,0.413398927
4/1/2009,0.434489403,0.45372649,0.415384615,0.416983936,0.447019868,0.49056344,0.44969697,0.457999243,0.406084656,0.411884978
4/2/2009,0.444720497,0.452670407,0.411428571,0.417090248,0.49793559,0.4897297,0.444444444,0.457250105,0.377862595,0.409182125
4/3/2009,0.455658504,0.452862226,0.444444444,0.419608037,0.51208981,0.490639814,0.442663379,0.456656001,0.385459534,0.407756848
4/6/2009,0.445419103,0.45260428,0.415873016,0.420035834,0.480719794,0.490412856,0.460144928,0.457434804,0.388020833,0.405760993
4/7/2009,0.474494706,0.453342978,0.439102564,0.421185593,0.501265823,0.490494679,0.476477684,0.458452621,0.446270544,0.406631735
4/8/2009,0.453789575,0.452832572,0.438538206,0.423284917,0.484166667,0.489202612,0.439953811,0.45825378,0.427631579,0.405481801
4/9/2009,0.364199923,0.448568494,0.353658537,0.419152126,0.386454183,0.484356721,0.3708166,0.453469111,0.321917808,0.402204141
4/14/2009,0.468641664,0.450512335,0.428143713,0.419725978,0.499170813,0.486486478,0.49882904,0.456013468,0.405648267,0.403497008
4/15/2009,0.450980392,0.450376439,0.427299703,0.420770108,0.491717524,0.486395455,0.437284235,0.455490441,0.417799753,0.403138365
4/16/2009,0.467391304,0.450088486,0.412337662,0.419563787,0.505172414,0.485384938,0.481776765,0.455993307,0.416879795,0.403230909
4/17/2009,0.45638262,0.450200331,0.431746032,0.421120507,0.488224638,0.48567949,0.442193087,0.454765669,0.434599156,0.403970892
4/20/2009,0.457666667,0.449231858,0.441176471,0.422312122,0.473447345,0.483070327,0.465311005,0.454162171,0.432396252,0.404032734
4/21/2009,0.495145631,0.452054713,0.427710843,0.424301113,0.536607143,0.485989498,0.518086348,0.457844267,0.439180538,0.406272509
4/22/2009,0.483974359,0.454159321,0.443396226,0.426986683,0.529155788,0.48825911,0.521226415,0.462350817,0.396273292,0.405407161
4/23/2009,0.47008,0.453054754,0.434782609,0.427317768,0.533687943,0.487981184,0.461098398,0.460434178,0.403598972,0.403471725
4/24/2009,0.454257565,0.452462025,0.405063291,0.425300817,0.505365854,0.487460003,0.454314721,0.45949968,0.402524544,0.403992527
4/27/2009,0.474129185,0.452878887,0.443729904,0.426270695,0.508659982,0.488498683,0.492975734,0.458797999,0.417754569,0.404535003
4/28/2009,0.487619676,0.456285716,0.468227425,0.427136612,0.55,0.493640605,0.494649227,0.462137426,0.400506971,0.406550276
4/29/2009,0.468070879,0.457547364,0.42172524,0.426347874,0.520737327,0.496233124,0.473621103,0.463142601,0.405797101,0.407244594
4/30/2009,0.48599066,0.459655116,0.444089457,0.427392926,0.526075023,0.498883676,0.513872135,0.466971801,0.415465269,0.407083601
5/1/2009,0.458073966,0.460834344,0.410958904,0.427171641,0.486880466,0.500876706,0.473825503,0.468178228,0.416541353,0.407606436
